Date,INTC,NVDA,AMD,QCOM,TXN,MU,AVGO,AMAT,ASML,TSM
2015-10-20,26.243244171142578,0.6748571991920471,2.0199999809265137,44.303863525390625,39.88479995727539,16.681396484375,9.154372215270996,14.358854293823242,80.65007781982422,17.229990005493164
2015-10-21,26.188304901123047,0.6661087274551392,2.0999999046325684,44.281341552734375,39.481605529785156,16.03717613220215,9.20095157623291,14.25242805480957,81.54701232910156,17.160484313964844
2015-10-22,26.996633529663086,0.6901670098304749,2.140000104904175,45.3776741027832,44.19049835205078,16.320241928100586,9.570517539978027,14.376594543457031,83.6397933959961,17.38445281982422
2015-10-23,27.38903045654297,0.6947843432426453,2.2100000381469727,45.60293197631836,44.867557525634766,16.82781410217285,9.894268035888672,14.580578804016113,84.83568572998047,17.353557586669922
2015-10-26,27.145740509033203,0.6916250586509705,2.1500000953674316,44.46156692504883,44.73822021484375,16.1835880279541,9.438417434692383,14.48302173614502,83.61263275146484,17.114147186279297
2015-10-27,27.051565170288086,0.6911391019821167,2.1500000953674316,44.51411819458008,44.4415397644043,16.281200408935547,9.276544570922852,14.429805755615234,82.94221496582031,17.145038604736328
2015-10-28,27.23991584777832,0.6967285871505737,2.180000066757202,45.257530212402344,44.92393493652344,16.51546287536621,9.704137802124023,14.669272422790527,84.56388854980469,17.05236053466797
2015-10-29,26.70626449584961,0.6726697683334351,2.130000114440918,45.054786682128906,43.31596374511719,15.82243824005127,9.169644355773926,14.846651077270508,83.40425109863281,16.8515625
2015-10-30,26.572856903076172,0.6894381642341614,2.119999885559082,44.61924743652344,43.43079376220703,16.1640682220459,9.401766777038574,14.873251914978027,84.06564331054688,16.95968246459961
2015-11-02,26.769052505493164,0.6974576711654663,2.190000057220459,45.53537368774414,43.63755416870117,16.681396484375,9.452927589416504,14.979680061340332,85.26151275634766,17.067806243896484
2015-11-03,26.926006317138672,0.6925972700119019,2.2799999713897705,45.70808029174805,43.760066986083984,17.413467407226562,9.32617473602295,15.077245712280273,86.16748046875,17.58525276184082
2015-11-04,26.98923110961914,0.6811756491661072,2.200000047683716,45.2500114440918,43.60691833496094,17.023029327392578,9.47659683227539,14.961945533752441,86.58424377441406,18.187641143798828
2015-11-05,26.870685577392578,0.6733987331390381,2.200000047683716,38.349117279052734,43.95148468017578,16.115262985229492,9.243709564208984,14.908730506896973,86.25807189941406,17.747432708740234
2015-11-06,26.744232177734375,0.7667174339294434,2.1500000953674316,40.11376953125,44.127593994140625,16.05669403076172,9.901138305664062,15.121585845947266,87.27278137207031,17.623865127563477
2015-11-09,26.356975555419922,0.763314962387085,2.109999895095825,39.753326416015625,43.80600357055664,15.461282730102539,9.659088134765625,14.908730506896973,86.72014617919922,17.73198890686035
2015-11-10,26.246339797973633,0.7487342357635498,2.0199999809265137,39.250221252441406,43.668190002441406,15.178214073181152,9.152083396911621,14.86439037322998,84.72698974609375,17.38445281982422
2015-11-11,25.969722747802734,0.7414438128471375,2.069999933242798,39.68576431274414,44.10462188720703,15.129410743713379,9.158953666687012,14.890989303588867,85.1165542602539,17.43851089477539
2015-11-12,25.60618019104004,0.7387703657150269,2.0,39.48301315307617,43.39251708984375,14.982995986938477,9.15131950378418,14.66040325164795,84.04750061035156,17.175933837890625
2015-11-13,25.376989364624023,0.7241894602775574,1.9900000095367432,39.00242233276367,42.979034423828125,14.641365051269531,8.974935531616211,15.2900972366333,82.80631256103516,16.90562629699707
2015-11-16,25.369083404541016,0.7387703657150269,1.9900000095367432,39.62567138671875,43.553314208984375,14.5339937210083,9.275014877319336,15.733542442321777,83.61263275146484,17.260883331298828
2015-11-17,25.795856475830078,0.7387703657150269,1.9800000190734863,39.78337860107422,43.69880294799805,14.914670944213867,9.32006549835205,15.894092559814453,83.33177947998047,17.392173767089844
2015-11-18,26.206817626953125,0.7569438815116882,2.119999885559082,36.0438232421875,44.380279541015625,15.23677921295166,9.614802360534668,16.170583724975586,84.39176940917969,17.392173767089844
2015-11-19,27.107778549194336,0.7591392397880554,2.140000104904175,36.33668518066406,44.37261199951172,15.490564346313477,9.560589790344238,16.233022689819336,84.50953674316406,17.50802230834961
2015-11-20,27.392295837402344,0.7657256126403809,2.2200000286102295,37.260311126708984,44.502784729003906,15.06108570098877,9.651453971862793,16.215181350708008,82.8425521850586,17.63158416748047
2015-11-23,27.250030517578125,0.7542604804039001,2.2200000286102295,36.772216796875,43.913204193115234,14.953713417053223,9.499502182006836,16.170583724975586,81.78255462646484,17.430789947509766
2015-11-24,27.15519905090332,0.7603590488433838,2.3399999141693115,37.10261154174805,44.296058654785156,15.256303787231445,9.79958724975586,16.393573760986328,81.8369140625,17.376726150512695
2015-11-25,27.226327896118164,0.7593832612037659,2.380000114440918,36.86982345581055,43.85194778442383,15.207499504089355,9.803403854370117,16.45600128173828,82.416748046875,17.42306900024414
2015-11-27,27.234228134155273,0.7657256126403809,2.3299999237060547,36.80916213989258,44.06632995605469,15.18797492980957,9.929389953613281,16.60763168334961,83.7938461303711,17.338115692138672
2015-11-30,27.479228973388672,0.7737756967544556,2.359999895095825,36.99873733520508,44.502784729003906,15.5491304397583,9.960698127746582,16.74141502380371,84.0022201538086,17.57752799987793
2015-12-01,27.732135772705078,0.7989013195037842,2.3399999141693115,37.385498046875,44.648284912109375,16.1543025970459,10.14700698852539,17.107112884521484,84.47330474853516,17.979122161865234
2015-12-02,27.526643753051758,0.7928029298782349,2.2699999809265137,39.31922149658203,44.06632995605469,15.441761016845703,10.095087051391602,17.06252098083496,83.6397933959961,17.90961265563965
